filepath,key,value,epsilon,isequal
testdata/dwi.nhdr,DWMRI_gradient_0062,"(-0.142737316137,-0.748923365552,0.647101017525)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0063,"(-0.741188952464,0.377930405302,0.554804569856)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0064,"(-0.102569161122,0.808313809541,0.579749409433)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0065,"(0.582246245982,-0.616987248229,0.52944955555)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0066,"(-8.80829345211e-2,-0.366318012443,0.926311282267)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0067,"(-0.551622671692,-0.80209083518,0.228828516738)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0068,"(0.837867896509,-0.45423101157,-0.302739249657)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0069,"(0.360942325054,-0.589911118936,0.722305235224)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0070,"(-0.181220859775,0.423660605935,-0.88750872837)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0071,"(-0.719258379083,-0.694540350403,-1.67844744716e-2)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0072,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0073,"(0.433671678535,0.701336232151,-0.565734760455)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0074,"(0.500738540603,0.681271552674,0.533976266186)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0075,"(-0.169983360119,-0.494972625556,-0.852119921402)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0076,"(0.463290580688,0.408114801426,0.786641346944)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0077,"(0.381845916387,-0.823797586558,0.41898784903)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0078,"(-0.714957317565,-0.266158581969,0.646525983887)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0079,"(0.260687920077,0.896950524358,-0.357102232798)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0080,"(-1.35258411849e-3,0.104339647703,-0.994540635647)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0081,"(3.52977689508e-2,-0.915166061596,0.401528994971)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0082,"(0.570226360434,-0.291292305142,-0.768109107386)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0083,"(-0.28213305307,0.175169243477,-0.94324796839)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0084,"(0.721006834132,0.60178748216,0.343513005017)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0085,"(0.266944164804,0.962379028053,-5.06781640991e-2)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0086,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,centerings,"cell cell cell ???",,True
testdata/dwi-missingdirs.nhdr,centerings,"cell cell cell ???",,True
testdata/dwi.nhdr,"data file",023_NAA_006-dwi-Ed.raw.gz,,True
testdata/dwi-missingdirs.nhdr,"data file",023_NAA_006-dwi-Ed.raw.gz,,True
testdata/dwi.nhdr,dimension,4,,True
testdata/dwi-missingdirs.nhdr,dimension,4,,True
testdata/dwi.nhdr,encoding,gzip,,True
testdata/dwi-missingdirs.nhdr,encoding,gzip,,True
testdata/dwi.nhdr,endian,little,,True
testdata/dwi-missingdirs.nhdr,endian,little,,True
testdata/dwi.nhdr,kinds,"[space,space,space,list]",,True
testdata/dwi-missingdirs.nhdr,kinds,"[space,space,space,list]",,True
testdata/dwi.nhdr,"measurement frame","(1.0,0.0,0.0) (0.0,1.0,0.0) (0.0,0.0,1.0)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,"measurement frame","(1.0,0.0,0.0) (0.0,1.0,0.0) (0.0,0.0,1.0)",5.0e-2,True
testdata/dwi.nhdr,modality,DWMRI,,True
testdata/dwi-missingdirs.nhdr,modality,DWMRI,,True
testdata/dwi.nhdr,sizes,"[128,128,73,87]",,True
testdata/dwi-missingdirs.nhdr,sizes,"[128,128,73,87]",,True
testdata/dwi.nhdr,space,LPS,,True
testdata/dwi-missingdirs.nhdr,space,LPS,,True
testdata/dwi.nhdr,"space directions","(DWISpaceDirections (2.0,0.0,0.0) (0.0,2.0,0.0) (0.0,0.0,2.0))",5.0e-2,True
testdata/dwi-missingdirs.nhdr,"space directions","(DWISpaceDirections (2.0,0.0,0.0) (0.0,2.0,0.0) (0.0,0.0,2.0))",5.0e-2,True
testdata/dwi.nhdr,"space origin","(-128.0,-128.0,-73.0)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,"space origin","(-128.0,-128.0,-73.0)",5.0e-2,True
testdata/dwi.nhdr,"space units","mm mm mm",,True
testdata/dwi-missingdirs.nhdr,"space units","mm mm mm",,True
testdata/dwi.nhdr,thicknesses,"NaN NaN 2 NaN",,True
testdata/dwi-missingdirs.nhdr,thicknesses,"NaN NaN 2 NaN",,True
testdata/dwi.nhdr,type,short,,True
testdata/dwi-missingdirs.nhdr,type,short,,True
