filepath,key,value,epsilon,isequal
testdata/dwi.nhdr,DWMRI_b-value,900,,True
testdata/dwi-missingdirs.nhdr,DWMRI_b-value,900,,True
testdata/dwi.nhdr,DWMRI_gradient_0000,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0000,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0001,"(3.341784783e-3,0.179277704411,0.280997095529)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0001,"(3.341784783e-3,0.179277704411,0.170997095529)",5.0e-2,False
testdata/dwi.nhdr,DWMRI_gradient_0002,"(2.90788149711e-3,0.181404888579,-0.279633404916)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0002,"(2.90788149711e-3,0.181404888579,-0.279633404916)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0003,"(0.172646250908,0.285077327663,-5.93518859543e-3)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0003,"(0.172646250908,0.285077327663,-5.93518859543e-3)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0004,"(0.172584419421,-0.285037789394,-8.89460254461e-3)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0004,"(0.172584419421,-0.285037789394,-8.89460254461e-3)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0005,"(0.284785259189,4.74190451631e-3,0.173164282123)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0005,"(0.284785259189,4.74190451631e-3,0.173164282123)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0006,"(-0.285197141972,-6.82187280901e-3,0.172415342632)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0006,"(-0.285197141972,-6.82187280901e-3,0.172415342632)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0007,"(0.385223157277,0.384486744383,0.384991072038)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0007,"(0.385223157277,0.384486744383,0.384991072038)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0008,"(8.41881493023e-4,0.621970375748,0.239992925582)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0008,"(8.41881493023e-4,0.621970375748,0.239992925582)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0009,"(0.23726444292,-4.17069323784e-3,0.623003303856)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0009,"(0.23726444292,-4.17069323784e-3,0.623003303856)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0010,"(-0.23928166276,-1.11653263951e-2,0.622145118541)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0010,"(-0.23928166276,-1.11653263951e-2,0.622145118541)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0011,"(-0.384913794816,0.384999093224,0.384788424767)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0011,"(-0.384913794816,0.384999093224,0.384788424767)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0012,"(1.3155012494e-3,0.628818968106,-0.22142543879)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0012,"(1.3155012494e-3,0.628818968106,-0.22142543879)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0013,"(0.385532387007,0.394823892926,-0.374064079004)",5.0e-2,True
testdata/dwi-missingdirs.nhdr,DWMRI_gradient_0013,"(0.385532387007,0.394823892926,-0.374064079004)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0014,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0015,"(0.621505165764,0.241192946215,-1.12144138331e-3)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0016,"(0.383683014648,-0.395559418511,0.375186825136)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0017,"(0.620918449878,-0.242577940454,-7.75805460878e-3)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0018,"(0.999983879249,5.54308826119e-3,-9.94799072922e-4)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0019,"(2.90279401514e-5,0.999861464208,1.66321729408e-2)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0020,"(-2.82151047107e-2,0.639353598914,0.768394619564)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0021,"(0.589841687752,-0.773961987172,0.23036797267)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0022,"(-0.237432064863,-0.552597188332,0.798913071942)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0023,"(-0.894042016678,-0.27483687699,0.35376939313)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0024,"(0.795173981321,0.118111670451,0.59476702088)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0025,"(0.230435882114,0.923416998058,0.306922351335)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0026,"(0.934812742639,0.136162988908,0.328002283865)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0027,"(0.50467144824,-0.841488417285,-0.192882776235)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0028,"(0.346774357564,-0.839170430376,-0.418976007973)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0029,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0030,"(0.458490726976,-0.617894917291,-0.638741961477)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0031,"(-0.490174515238,-0.418234334948,0.76472810106)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0032,"(-0.617352933515,0.664117008046,0.421691435252)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0033,"(-0.575386639004,-8.5943754126e-2,-0.813353470834)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0034,"(-0.825850937569,-0.531090163224,0.189508739853)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0035,"(0.896512233002,-3.2462165218e-2,-0.441827374603)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0036,"(0.290889588781,-0.526461718106,-0.798887330081)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0037,"(0.115625832853,-0.95792602339,-0.262695917483)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0038,"(-0.799658699351,0.419727069591,-0.429387890408)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0039,"(0.511417658987,0.837350898551,0.193121917036)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0040,"(-0.78872065503,0.175409233925,-0.589194818819)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0041,"(0.948865867996,-0.243599172361,0.20078230876)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0042,"(0.231488162075,0.769500218079,0.59521633009)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0043,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0044,"(-1.69784196017e-2,-0.166640290406,-0.985871496904)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0045,"(0.216319366274,-0.96185776263,0.167439069049)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0046,"(0.772227280596,-0.612437797907,0.169070680539)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0047,"(-0.162188120252,0.334955407819,0.928170324346)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0048,"(-0.145203066262,0.754830231059,-0.639646548388)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0049,"(0.886194427062,0.416796584155,0.202336597596)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0050,"(-0.560774803489,0.261152280533,-0.785703978479)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0051,"(-0.383660662378,0.118808922244,0.915799384905)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0052,"(-0.303871336968,-0.175340348842,-0.936439401545)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0053,"(-0.334250712447,-0.166380087542,0.927682588781)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0054,"(-0.962075484898,-0.271271814543,2.86712632629e-2)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0055,"(-0.959478440786,0.20415760194,0.194216360019)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0056,"(0.450595183678,-0.892118646967,3.29950120777e-2)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0057,"(0.0,0.0,0.0)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0058,"(-0.770324460711,0.629391703935,0.102307877674)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0059,"(0.708464826868,0.3935273503,0.585844616543)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0060,"(-0.695963815809,4.94286390731e-3,0.718060252287)",5.0e-2,True
testdata/dwi.nhdr,DWMRI_gradient_0061,"(0.683107111327,0.549075852799,-0.481540311149)",5.0e-2,True
